folder_name,gps_speed,ground_truth_dist,predicted_dist_raw,predicted_dist_filtered
20260212043809_238,0.11,0.8639676670417467,818.8657411429266,818.8657411429266
20260212043809_651,0.11,0.8639911205613398,812.5889579603519,812.5889579603519
20260212043810_065,0.11,0.8640237899647025,823.6160574084334,823.6160574084334
20260212043810_510,0.23,0.8643136583190565,825.1428430967293,825.1428430967293
20260212043810_891,0.23,0.8635086384158708,827.0092339856686,827.0092339856686
20260212043811_306,0.08,0.864219413886223,822.0892717201377,822.0892717201377
20260212043811_717,0.08,0.8642335065385041,828.0267716190657,828.0267716190657
20260212043812_129,0.08,0.8658902517331366,822.9374859914132,822.9374859914132
20260212043812_542,0.02,0.8646874217484382,820.9020888731592,820.9020888731592
20260212043812_955,0.02,0.8641887831976648,825.8214145137496,825.8214145137496
20260212043813_367,0.05,0.8647229695856586,820.732128886097,820.732128886097
20260212043813_779,0.05,0.8656759233395999,822.7675252834459,822.7675252834459
20260212043814_192,0.07,0.8651856254471376,820.5624860318419,820.5624860318419
20260212043814_605,0.07,0.8647009773884201,822.5982002829029,822.5982002829029
20260212043815_016,0.07,0.8650403809152949,827.3485198252524,827.3485198252524
20260212043815_429,0.06,0.8654787019957608,822.2592322314945,822.2592322314945
20260212043815_840,0.06,0.8658025885355858,826.5003052262928,826.5003052262928
20260212043816_253,0.04,0.8656929108765853,822.9378039106623,822.9378039106623
20260212043816_666,0.04,0.8672480576721635,831.2506573047084,831.2506573047084
20260212043817_079,0.04,0.8672159978382179,825.8214145137496,825.8214145137496
20260212043817_493,0.09,0.8686754434063205,822.5982002829029,822.5982002829029
20260212043817_904,0.09,0.8679726958695495,829.7232001616164,829.7232001616164
20260212043818_316,0.03,0.868140376603175,831.5889502967943,831.5889502967943
20260212043818_727,0.03,0.8681864259246469,830.2318079870485,830.2318079870485
20260212043819_140,0.03,0.8671435344427115,823.1068108608825,830.2318079870485
20260212043819_555,0.07,0.8657619181463297,869.0800066035246,830.2318079870485
20260212043819_969,0.07,0.8659346167709359,831.2493143951164,831.2493143951164
20260212043820_382,0.03,0.8658922099349668,824.2943103819102,824.2943103819102
